#from_text	to_text	from_ipa	to_ipa	category	Adalbert	adlebert
Agrippa	agrippuh
Alastor	alaster
Alphard	alFurd
Amos	Aimus
Annis	annice
Delacour	de laCour
Dumbledore	Dumbble door
Gryffindor	griffinndor
Guzman	goozMon
Knabl	knaabl
Peasegood	peezgood
Peverell	Peverelle
Poliever	poliEv
Taliaferro	Toliver
Toothill	tuthill
Twelvetrees	twelve trees
airmini	air mini
deredere	Deray deray
litrpg	lit RPG
makeitfable	make it fable
mayam	Myum
odsp	o d s p
tsundere	Sunderay
voipms	voip MS
xianxia	shangshia
yandere	Yanderay
